robot_name,robot_path,test_name,test_type,hand_path,episodes,max_steps,reward_mean,reward_std,tis_mean,tis_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H5,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_5\hand\hand\best_model.zip,50,100,-40.990905957959065,16.244908710175686,0.12160000000000001,0.10364091856019031,0.4880565325465637,0.2621937636093294,20.72,11.988394387906997,0.9,0.4250610667453633,0.08688240070807293,3.8408745765686034,0.8070769357205836
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H6,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_6\hand\hand\best_model.zip,50,100,-39.54430660080342,15.463305677489277,0.13040000000000002,0.11007197645177451,0.4868263099756308,0.26136218194561023,22.3,13.35702062587312,0.94,0.4273134558144121,0.08586023420995709,3.8132487106323243,0.7862530417821761
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H7,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_7\hand\hand\best_model.zip,50,100,-41.2201898684837,16.794413964418595,0.1274,0.11497495379429383,0.47416961957880616,0.2648022582657298,22.16,14.067494446417955,0.9,0.44124854044060396,0.08458183998058985,3.8085947036743164,0.8392176632456156
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H8,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_8\hand\hand\best_model.zip,50,100,-40.98349487948109,16.78718333071253,0.1276,0.11937436910828052,0.4800515039039434,0.26395019674418824,21.86,14.631486595694916,0.9,0.43475013245552324,0.08519836364053326,3.8194631338119507,0.8083250976681058
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H9,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_9\hand\hand\best_model.zip,50,100,-41.20030199429029,15.987169456136058,0.12040000000000001,0.09983907050849382,0.4872986650222235,0.24283774594249435,20.8,11.931470990619722,0.9,0.4173419282391803,0.09535940673859615,3.8658457612991333,0.8330724750285277
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H10,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_10\hand\hand\best_model.zip,50,100,-40.08757829663311,16.038423548479642,0.1374,0.13016620145029967,0.4749450903580813,0.24119144598148057,24.12,16.948911469472012,0.92,0.43677523277100827,0.08827967687091044,3.837303876876831,0.7824109312946856
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,scripted_slow,scripted,,50,100,76.27055270856933,26.11322427145343,0.875,0.16800297616411441,0.9007522680575311,0.08903934933817173,96.22,14.963007719038309,0.06,0.040993930772878134,0.05825380116959065,4.616765041351318,0.1599842915352504
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,scripted_nominal,scripted,,50,100,77.50050197963981,7.45507223913827,0.9111999999999998,0.05508684053383349,0.9111999999999998,0.05508684053383349,100.0,0.0,0.0,0.06040000000000001,0.0284,4.367559208869934,0.17411584346884895
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,scripted_fast,scripted,,50,100,17.072603619192602,30.843135399991922,0.49520000000000003,0.22161443996274252,0.5487894736842106,0.17013373426403725,88.16,29.39616301492424,0.14,0.418216081871345,0.032994444444444444,3.739064211845398,0.3436515427949179
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,scripted_spasm,scripted,,50,100,31.557614150953324,35.89817129428005,0.6009999999999999,0.2169078145203625,0.7334385323150069,0.09220585099030011,81.54,27.756231732711843,0.34,0.14654424077139913,0.12001722691359402,4.541989994049072,0.20600830110156995
