iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,640000,0.21333333333333335,0,Scr,0.2,2,0.5,0.4,
2,640000,0.21333333333333335,1,H1,0.8,2,0.5,1.6,0
2,650000,0.21666666666666667,0,Scr,0.2,2,0.5,0.4,
2,650000,0.21666666666666667,1,H1,0.8,2,0.5,1.6,0
2,660000,0.22,0,Scr,0.2,2,0.5,0.4,
2,660000,0.22,1,H1,0.8,2,0.5,1.6,0
2,670000,0.22333333333333333,0,Scr,0.2,2,0.5,0.4,
2,670000,0.22333333333333333,1,H1,0.8,2,0.5,1.6,0
2,680000,0.22666666666666666,0,Scr,0.2,2,0.5,0.4,
2,680000,0.22666666666666666,1,H1,0.8,2,0.5,1.6,0
2,690000,0.23,0,Scr,0.2,2,0.5,0.4,
2,690000,0.23,1,H1,0.8,2,0.5,1.6,0
2,700000,0.23333333333333334,0,Scr,0.2,2,0.5,0.4,
2,700000,0.23333333333333334,1,H1,0.8,2,0.5,1.6,0
2,710000,0.23666666666666666,0,Scr,0.2,2,0.5,0.4,
2,710000,0.23666666666666666,1,H1,0.8,2,0.5,1.6,0
2,720000,0.24,0,Scr,0.2,2,0.5,0.4,
2,720000,0.24,1,H1,0.8,2,0.5,1.6,0
2,730000,0.24333333333333335,0,Scr,0.2,2,0.5,0.4,
2,730000,0.24333333333333335,1,H1,0.8,2,0.5,1.6,0
2,740000,0.24666666666666667,0,Scr,0.2,2,0.5,0.4,
2,740000,0.24666666666666667,1,H1,0.8,2,0.5,1.6,0
2,750000,0.25,0,Scr,0.2,2,0.5,0.4,
2,750000,0.25,1,H1,0.8,2,0.5,1.6,0
2,760000,0.25333333333333335,0,Scr,0.2,2,0.5,0.4,
2,760000,0.25333333333333335,1,H1,0.8,2,0.5,1.6,0
2,770000,0.25666666666666665,0,Scr,0.2,2,0.5,0.4,
2,770000,0.25666666666666665,1,H1,0.8,2,0.5,1.6,0
2,780000,0.26,0,Scr,0.2,2,0.5,0.4,
2,780000,0.26,1,H1,0.8,2,0.5,1.6,0
2,790000,0.2633333333333333,0,Scr,0.2,2,0.5,0.4,
2,790000,0.2633333333333333,1,H1,0.8,2,0.5,1.6,0
2,800000,0.26666666666666666,0,Scr,0.2,2,0.5,0.4,
2,800000,0.26666666666666666,1,H1,0.8,2,0.5,1.6,0
2,810000,0.27,0,Scr,0.2,2,0.5,0.4,
2,810000,0.27,1,H1,0.8,2,0.5,1.6,0
2,820000,0.2733333333333333,0,Scr,0.2,2,0.5,0.4,
2,820000,0.2733333333333333,1,H1,0.8,2,0.5,1.6,0
2,830000,0.27666666666666667,0,Scr,0.2,2,0.5,0.4,
2,830000,0.27666666666666667,1,H1,0.8,2,0.5,1.6,0
2,840000,0.28,0,Scr,0.2,2,0.5,0.4,
2,840000,0.28,1,H1,0.8,2,0.5,1.6,0
2,850000,0.2833333333333333,0,Scr,0.2,2,0.5,0.4,
2,850000,0.2833333333333333,1,H1,0.8,2,0.5,1.6,0
2,860000,0.2866666666666667,0,Scr,0.2,2,0.5,0.4,
2,860000,0.2866666666666667,1,H1,0.8,2,0.5,1.6,0
2,870000,0.29,0,Scr,0.2,2,0.5,0.4,
2,870000,0.29,1,H1,0.8,2,0.5,1.6,0
2,880000,0.29333333333333333,0,Scr,0.2,2,0.5,0.4,
2,880000,0.29333333333333333,1,H1,0.8,2,0.5,1.6,0
2,890000,0.2966666666666667,0,Scr,0.2,2,0.5,0.4,
2,890000,0.2966666666666667,1,H1,0.8,2,0.5,1.6,0
2,900000,0.3,0,Scr,0.2,2,0.5,0.4,
2,900000,0.3,1,H1,0.8,2,0.5,1.6,0
2,910000,0.30333333333333334,0,Scr,0.2,2,0.5,0.4,
2,910000,0.30333333333333334,1,H1,0.8,2,0.5,1.6,0
2,920000,0.30666666666666664,0,Scr,0.2,2,0.5,0.4,
2,920000,0.30666666666666664,1,H1,0.8,2,0.5,1.6,0
2,930000,0.31,0,Scr,0.2,2,0.5,0.4,
2,930000,0.31,1,H1,0.8,2,0.5,1.6,0
2,940000,0.31333333333333335,0,Scr,0.2,2,0.5,0.4,
2,940000,0.31333333333333335,1,H1,0.8,2,0.5,1.6,0
2,950000,0.31666666666666665,0,Scr,0.2,2,0.5,0.4,
2,950000,0.31666666666666665,1,H1,0.8,2,0.5,1.6,0
2,960000,0.32,0,Scr,0.2,2,0.5,0.4,
2,960000,0.32,1,H1,0.8,2,0.5,1.6,0
2,970000,0.3233333333333333,0,Scr,0.2,2,0.5,0.4,
2,970000,0.3233333333333333,1,H1,0.8,2,0.5,1.6,0
2,980000,0.32666666666666666,0,Scr,0.2,2,0.5,0.4,
2,980000,0.32666666666666666,1,H1,0.8,2,0.5,1.6,0
2,990000,0.33,0,Scr,0.2,2,0.5,0.4,
2,990000,0.33,1,H1,0.8,2,0.5,1.6,0
2,1000000,0.3333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1000000,0.3333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1010000,0.33666666666666667,0,Scr,0.2,2,0.5,0.4,
2,1010000,0.33666666666666667,1,H1,0.8,2,0.5,1.6,0
2,1020000,0.34,0,Scr,0.2,2,0.5,0.4,
2,1020000,0.34,1,H1,0.8,2,0.5,1.6,0
2,1030000,0.3433333333333333,0,Scr,0.2,2,0.5,0.4,
2,1030000,0.3433333333333333,1,H1,0.8,2,0.5,1.6,0
2,1040000,0.3466666666666667,0,Scr,0.2,2,0.5,0.4,
2,1040000,0.3466666666666667,1,H1,0.8,2,0.5,1.6,0
2,1050000,0.35,0,Scr,0.2,2,0.5,0.4,
2,1050000,0.35,1,H1,0.8,2,0.5,1.6,0
2,1060000,0.35333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1060000,0.35333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1070000,0.3566666666666667,0,Scr,0.2,2,0.5,0.4,
2,1070000,0.3566666666666667,1,H1,0.8,2,0.5,1.6,0
