iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,1170000,0.585,0,Scr,0.2,2,0.5
2,1170000,0.585,1,H1,0.8,2,0.5
2,1180000,0.59,0,Scr,0.2,2,0.5
2,1180000,0.59,1,H1,0.8,2,0.5
2,1190000,0.595,0,Scr,0.2,2,0.5
2,1190000,0.595,1,H1,0.8,2,0.5
2,1200000,0.6,0,Scr,0.2,2,0.5
2,1200000,0.6,1,H1,0.8,2,0.5
2,1210000,0.605,0,Scr,0.2,2,0.5
2,1210000,0.605,1,H1,0.8,2,0.5
2,1220000,0.61,0,Scr,0.2,2,0.5
2,1220000,0.61,1,H1,0.8,2,0.5
2,1230000,0.615,0,Scr,0.2,2,0.5
2,1230000,0.615,1,H1,0.8,2,0.5
2,1240000,0.62,0,Scr,0.2,2,0.5
2,1240000,0.62,1,H1,0.8,2,0.5
2,1250000,0.625,0,Scr,0.2,2,0.5
2,1250000,0.625,1,H1,0.8,2,0.5
2,1260000,0.63,0,Scr,0.2,2,0.5
2,1260000,0.63,1,H1,0.8,2,0.5
2,1270000,0.635,0,Scr,0.2,2,0.5
2,1270000,0.635,1,H1,0.8,2,0.5
2,1280000,0.64,0,Scr,0.2,2,0.5
2,1280000,0.64,1,H1,0.8,2,0.5
2,1290000,0.645,0,Scr,0.2,2,0.5
2,1290000,0.645,1,H1,0.8,2,0.5
2,1300000,0.65,0,Scr,0.2,2,0.5
2,1300000,0.65,1,H1,0.8,2,0.5
2,1310000,0.655,0,Scr,0.2,2,0.5
2,1310000,0.655,1,H1,0.8,2,0.5
2,1320000,0.66,0,Scr,0.2,2,0.5
2,1320000,0.66,1,H1,0.8,2,0.5
2,1330000,0.665,0,Scr,0.2,2,0.5
2,1330000,0.665,1,H1,0.8,2,0.5
2,1340000,0.67,0,Scr,0.2,2,0.5
2,1340000,0.67,1,H1,0.8,2,0.5
2,1350000,0.675,0,Scr,0.2,2,0.5
2,1350000,0.675,1,H1,0.8,2,0.5
2,1360000,0.68,0,Scr,0.2,2,0.5
2,1360000,0.68,1,H1,0.8,2,0.5
2,1370000,0.685,0,Scr,0.2,2,0.5
2,1370000,0.685,1,H1,0.8,2,0.5
2,1380000,0.69,0,Scr,0.2,2,0.5
2,1380000,0.69,1,H1,0.8,2,0.5
2,1390000,0.695,0,Scr,0.2,2,0.5
2,1390000,0.695,1,H1,0.8,2,0.5
2,1400000,0.7,0,Scr,0.2,2,0.5
2,1400000,0.7,1,H1,0.8,2,0.5
2,1410000,0.705,0,Scr,0.2,2,0.5
2,1410000,0.705,1,H1,0.8,2,0.5
