rank_input_order,horizon,velocity_window,action_grid,discount,effort_weight,smoothness_weight,collision_penalty,oob_penalty,boundary_band,boundary_barrier_weight,collision_buffer,collision_barrier_weight,safety_pass,score_mean_tiz,score_min_tiz,mean_catch_rate,mean_boundary_occupancy,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_oob_rate,scripted_boundary_occupancy_mean,scripted_min_clearance_mean,scripted_min_clearance_p05,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_oob_rate,h1_boundary_occupancy_mean,h1_min_clearance_mean,h1_min_clearance_p05,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
11,5,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,True,0.22274999999999998,0.16309999999999997,0.895,0.02046883867662831,0.16309999999999997,0.0032526911934581335,29.25,1.7111984104714462,0.99,0.0,0.01794356865825107,0.6125884646454696,0.13600718363498468,0.4121502368000539,0.056436317559034374,3.762031159291387,0.2824,0.016970562748477157,49.84,5.572001435749996,0.8,0.0,0.022994108695005545,0.5263062215667492,0.1144832732519618,0.4046565602477903,0.04314220134847189,3.7655385790719054
12,5,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,True,0.23535,0.1641,0.865,0.0355710187925644,0.1641,0.0018384776310850174,30.45,1.0040916292848987,0.99,0.0,0.03789571854300282,0.47217564425850356,0.16438232355369267,0.43286200078651316,0.05435047182561975,3.7317488810193673,0.3066,0.00622253967444164,54.36,5.147737367038067,0.74,0.0,0.03324631904212598,0.44015658972418026,0.08803210978514524,0.4220205220794372,0.03869458871779455,3.731495659353091
13,5,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,True,0.2099,0.16510000000000002,0.935,0.025198114635733647,0.16510000000000002,0.0021213203435596246,29.45,1.0606601717798212,1.0,0.0,0.017410824944097115,0.5638854320835807,0.1616988476139699,0.3940524974789872,0.057378573716525674,3.7876680112735572,0.2547,0.04200214280248091,44.46,2.658721497261422,0.87,0.0,0.03298540432737018,0.4661114507540972,0.07263972598618446,0.4074357491265933,0.04822192747411695,3.7754006317464075
14,5,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,True,0.22615,0.1739,0.89,0.05551489412479543,0.1739,0.0035355339059327407,31.75,0.04242640687119446,0.99,0.0,0.054525347447619735,0.43087121719233135,0.0988953525456192,0.41093114629840277,0.05367739053723346,3.759628992569355,0.2784,0.03959797974644665,47.63,2.9274220741123074,0.79,0.0,0.056504440801971124,0.36516766025838976,0.06987280881063387,0.4041714894344859,0.04475260055301733,3.7843965026194066
15,5,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,True,0.2064,0.16210000000000002,0.92,0.01719743415347208,0.16210000000000002,0.0024041630560342913,29.479999999999997,0.3394112549695431,1.0,0.0,0.010047111998750816,0.6993745851545048,0.28373978945657846,0.40679498225716887,0.05365770456195336,3.7611843414459147,0.2507,0.05359869401394027,41.75,5.1053109601668725,0.8400000000000001,0.0,0.024347756308193344,0.5740277476589258,0.07815926224878919,0.39910584392237597,0.047850840245545825,3.7897615785216474
16,5,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,False,0.2163,0.1606,0.895,0.03304363460803099,0.1606,0.008485281374238578,29.79,1.5132085117392122,1.0,0.0,0.028584220892249722,0.550625475744678,0.29345045440527134,0.41934726767878705,0.055543733053688385,3.7596888624728595,0.272,0.03931513703397199,48.36,2.658721497261422,0.79,0.0,0.03750304832381225,0.4421720906791222,0.03866627284047045,0.4310390194578347,0.04205996312638717,3.730947599202796
17,6,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,True,0.2138,0.1563,0.875,0.03550654277743558,0.1563,0.017394826817189058,29.65,1.1455129855222077,0.97,0.0,0.03384521793452097,0.5507368125388162,0.09695775203082989,0.42762627042101337,0.05623635105112462,3.7268895846097534,0.2713,0.04087077195258248,47.620000000000005,5.515432893255073,0.78,0.0,0.037167867620350195,0.44555706649968974,0.05704019704794927,0.41822724652899645,0.045453972394584215,3.7464428123395352
18,6,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,False,0.2221,0.1587,0.86,0.058830309551366755,0.1587,0.0007071067811865482,31.2,1.5556349186104015,0.98,0.0,0.05991699031900535,0.42705969630061813,0.1081223215648643,0.4468204851134957,0.05474395988656894,3.696931266751505,0.2855,0.031536962440920045,49.44,0.9050966799187816,0.74,0.0,0.05774362878372816,0.3390044281469887,0.042280644142274816,0.41622502987492926,0.04685320598435358,3.7730999160548104
19,6,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,True,0.21275,0.1531,0.85,0.025829821190508584,0.1531,0.0012727922061357827,29.59,2.050609665440987,0.97,0.0,0.02519025387530416,0.6451359159083798,0.08937688839772517,0.43758823416507897,0.05599078702628821,3.7058794628731553,0.2724,0.022627416997969503,48.2,0.565685424949241,0.73,0.0,0.02646938850571301,0.5444403719906039,0.11383353342460165,0.42312199883210566,0.044704990496018046,3.7411552231773966
20,6,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,True,0.21665,0.16010000000000002,0.855,0.035691747722711865,0.16010000000000002,0.010889444430272831,32.07,0.04242640687119446,0.96,0.0,0.03018931248344904,0.5253670741722128,0.10723691761771553,0.45479279422412944,0.05546066781139801,3.6926265695637515,0.2732,0.016970562748477157,49.32,0.6222539674441586,0.75,0.0,0.04119418296197469,0.4208901666075303,0.061832795410478175,0.4321026430500048,0.04460346015011736,3.7390467130575704
21,6,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,False,0.22105,0.15440000000000004,0.875,0.024574605893652124,0.15440000000000004,0.010748023074035535,29.439999999999998,0.1697056274847703,1.0,0.0,0.020983674250216463,0.6108083925210921,0.24898218131154104,0.4283012600565288,0.05509245881673962,3.717356346607756,0.28769999999999996,0.020506096654409858,51.0,2.8567113959936563,0.75,0.0,0.02816553753708778,0.46998650130083486,0.0411508328936673,0.42395532049801793,0.04226817781999191,3.745726734792772
22,6,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,False,0.22755000000000003,0.155,0.865,0.054487507920230036,0.155,0.010465180361560888,30.31,0.3252691193458125,0.99,0.0,0.05019293863880614,0.46353759663716193,0.18517623039401315,0.44456830487677834,0.05352625479555874,3.6994889686301233,0.30010000000000003,0.008343860018001244,54.51,1.117228714274744,0.74,0.0,0.05878207720165393,0.3544456255005781,0.03380979112578385,0.4372233467625379,0.03959833953505224,3.717491460121363
23,6,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,True,0.22175,0.15109999999999998,0.845,0.01739476004899354,0.15109999999999998,0.011737972567696691,30.23,0.6081118318204305,0.98,0.0,0.0174257448885139,0.6861290352038736,0.19693471098816892,0.4471844094323534,0.0538225325298069,3.691215657892257,0.2924,0.03111269837220804,51.459999999999994,2.4041630560342604,0.71,0.0,0.01736377520947318,0.5856500794943522,0.12603025907305107,0.42565261347957,0.04348273609288622,3.747183748807079
24,6,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,True,0.2134,0.1548,0.875,0.029905200914611702,0.1548,0.009899494936611655,32.42,0.1979898987322341,0.97,0.0,0.024224590277932702,0.5615092982639172,0.18697509043906696,0.46689259872963973,0.05139954085016893,3.654085911621634,0.272,0.03620386719675119,48.75,4.171930009000635,0.78,0.0,0.0355858115512907,0.46848739515097537,0.07479722308198983,0.42987426531095585,0.044913233927909635,3.7489805262228697
