rank_input_order,radial_gain,tangent_gain,boundary_gain,boundary_band,boundary_guard,smoothing,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
11,0.8,0.3,2.0,1.25,0.2,0.0,0.08723333333333333,0.05995,0.05995,0.0029828677476549294,16.37666666666667,0.6569690505140516,1.0,0.47336617948390214,0.1610822622120921,4.03254073395108,0.11451666666666667,0.009688438126619443,27.646666666666665,1.1407161493260862,0.98,0.47135927190529503,0.12747082529856055,3.918270924677272
12,0.8,0.3,2.0,1.25,0.2,0.1,0.08612500000000002,0.05926666666666667,0.05926666666666667,0.0028571547618799556,16.28,0.6482090712108243,1.0,0.47625944914414503,0.16113079272545447,4.028394324514723,0.11298333333333337,0.010960421220616176,27.28333333333333,1.553715975760478,0.98,0.4738148010382497,0.12849427441691408,3.919031446335507
13,0.8,0.6,0.8,1.25,0.2,0.0,0.08453333333333334,0.06036666666666667,0.06036666666666667,0.0012065791865158795,17.796666666666667,0.3130628264954712,0.9883333333333333,0.477206324316967,0.16694417547554063,4.056327957088619,0.1087,0.01187023588645145,28.323333333333334,1.3551506681300547,0.9483333333333333,0.4844475657056715,0.13827996492178704,3.9591814175703526
14,0.8,0.6,0.8,1.25,0.2,0.1,0.08418333333333335,0.059716666666666675,0.059716666666666675,0.0007216878364870389,17.625,0.3925238846235985,0.9899999999999999,0.4786445319469126,0.16891775915490412,4.05445050158074,0.10865000000000001,0.014316424134538623,28.545,2.0182356155810943,0.9566666666666667,0.48882172634546023,0.13827373175697177,3.9526848075116288
15,0.8,0.6,1.35,1.25,0.2,0.0,0.07840000000000001,0.05770000000000001,0.05770000000000001,0.0012767145334803686,16.608333333333334,0.2138535324312721,1.0,0.4790983905724757,0.1681416829541351,4.050291438961015,0.09910000000000002,0.011900945340602157,25.965,2.048188223772415,0.9699999999999999,0.4889996836029607,0.14133105859771936,3.9609494846456887
16,0.8,0.6,1.35,1.25,0.2,0.1,0.078225,0.05705000000000001,0.05705000000000001,0.0009124143795447311,16.513333333333332,0.2916047553338827,1.0,0.4825596553359633,0.1687330995638848,4.045747150977511,0.0994,0.011853585955313274,25.958333333333332,1.6077727866005618,0.9733333333333333,0.48986672942599147,0.1420090982512611,3.9612397592578907
17,0.8,0.6,2.0,1.25,0.2,0.0,0.07544166666666667,0.05646666666666667,0.05646666666666667,0.0015782374134880144,15.950000000000001,0.4351149273467875,1.0,0.4734062793090015,0.16966895245678834,4.061032404571843,0.09441666666666666,0.011371052428572007,24.305000000000003,1.436462669198194,0.9816666666666666,0.47741253083451185,0.14449942436543275,3.978135657136233
18,0.8,0.6,2.0,1.25,0.2,0.1,0.07486666666666666,0.055933333333333335,0.055933333333333335,0.0014597374193098317,15.936666666666667,0.39243895491315944,1.0,0.4761386329181147,0.17055865375187787,4.0586657355841576,0.09380000000000001,0.010175829204541508,24.116666666666664,1.125936647122446,0.9866666666666667,0.4796410065204138,0.14516719160766858,3.977692115260209
19,1.2,0.0,0.8,1.25,0.2,0.0,0.13315000000000002,0.09530000000000001,0.09530000000000001,0.0049827201406460716,18.563333333333333,0.5609441445753174,1.0,0.35162469745402136,0.1418543132280755,4.16842774255506,0.17100000000000004,0.006392964883369842,31.820000000000004,1.3709576944603357,0.98,0.3700539966167406,0.11476912479576551,4.1202482507827485
20,1.2,0.0,0.8,1.25,0.2,0.1,0.13199166666666667,0.09481666666666666,0.09481666666666666,0.005269092268439925,18.488333333333333,0.4923751956926074,1.0,0.35239225822891673,0.14176511198836725,4.162902090653447,0.1691666666666667,0.00528732761736335,31.396666666666665,1.1064507821558662,0.98,0.3700539913524971,0.11545779692245252,4.1178724209868705
