epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,340.657,1.05587,0.62621,0.8171,0.98694,1,0.995,0.62673,1.30492,0.87714,0.87228,0.0008318,0.0008318,0.0008318
61,345.924,0.94949,0.61943,0.80737,0.98694,1,0.995,0.62673,1.30492,0.87714,0.87228,0.000812,0.000812,0.000812
62,351.258,0.85586,0.5675,0.80863,0.99008,1,0.995,0.66492,1.28319,0.78285,0.87145,0.0007922,0.0007922,0.0007922
63,356.638,1.16077,0.54084,0.86213,0.99008,1,0.995,0.66492,1.28319,0.78285,0.87145,0.0007724,0.0007724,0.0007724
64,362.023,1.14054,0.56552,0.88253,0.99133,1,0.995,0.66823,1.25214,0.74954,0.85942,0.0007526,0.0007526,0.0007526
65,367.528,0.86608,0.51811,0.79613,0.99133,1,0.995,0.66823,1.25214,0.74954,0.85942,0.0007328,0.0007328,0.0007328
66,373.263,1.02896,0.55125,0.87976,0.99032,1,0.995,0.68052,1.30938,0.75782,0.87693,0.000713,0.000713,0.000713
67,378.802,1.02398,0.50072,0.80529,0.99032,1,0.995,0.68052,1.30938,0.75782,0.87693,0.0006932,0.0006932,0.0006932
68,384.917,0.953,0.52957,0.84523,0.98854,1,0.995,0.64379,1.25855,0.77722,0.85662,0.0006734,0.0006734,0.0006734
69,390.569,0.99946,0.53088,0.89405,0.98854,1,0.995,0.64379,1.25855,0.77722,0.85662,0.0006536,0.0006536,0.0006536
70,396.077,0.77498,0.57438,0.89155,0.98519,1,0.995,0.71823,1.17424,0.6658,0.81182,0.0006338,0.0006338,0.0006338
71,401.519,0.88666,0.46021,0.80671,0.98519,1,0.995,0.71823,1.17424,0.6658,0.81182,0.000614,0.000614,0.000614
72,407.201,0.92287,0.51817,0.84371,0.9836,1,0.995,0.74087,1.06788,0.5804,0.79263,0.0005942,0.0005942,0.0005942
73,413.261,0.92108,0.53926,0.86926,0.9836,1,0.995,0.74087,1.06788,0.5804,0.79263,0.0005744,0.0005744,0.0005744
74,418.754,0.89382,0.48164,0.84769,0.98398,1,0.995,0.75545,0.951,0.53041,0.77912,0.0005546,0.0005546,0.0005546
75,424.076,0.79366,0.52699,0.76113,0.98398,1,0.995,0.75545,0.951,0.53041,0.77912,0.0005348,0.0005348,0.0005348
76,429.612,0.85796,0.50021,0.75421,0.98634,1,0.995,0.75732,1.01236,0.52676,0.78974,0.000515,0.000515,0.000515
77,435.147,0.84561,0.47727,0.81766,0.98634,1,0.995,0.75732,1.01236,0.52676,0.78974,0.0004952,0.0004952,0.0004952
78,440.778,0.8368,0.4851,0.82883,0.98813,1,0.995,0.78554,0.98651,0.52876,0.78738,0.0004754,0.0004754,0.0004754
79,446.37,0.87766,0.49077,0.8853,0.98813,1,0.995,0.78554,0.98651,0.52876,0.78738,0.0004556,0.0004556,0.0004556
80,452.034,0.83404,0.45684,0.81659,0.98943,1,0.995,0.77986,0.91401,0.50206,0.77499,0.0004358,0.0004358,0.0004358
81,457.646,0.88282,0.46335,0.87408,0.98943,1,0.995,0.77986,0.91401,0.50206,0.77499,0.000416,0.000416,0.000416
82,463.131,0.74714,0.42966,0.81626,0.99006,1,0.995,0.77986,0.83299,0.52624,0.75966,0.0003962,0.0003962,0.0003962
83,468.729,0.75429,0.42424,0.82942,0.99006,1,0.995,0.77986,0.83299,0.52624,0.75966,0.0003764,0.0003764,0.0003764
84,474.349,0.72958,0.4535,0.82423,0.99031,1,0.995,0.80198,0.8144,0.47251,0.75568,0.0003566,0.0003566,0.0003566
85,479.718,0.823,0.47193,0.81643,0.99031,1,0.995,0.80198,0.8144,0.47251,0.75568,0.0003368,0.0003368,0.0003368
86,485.119,0.71458,0.45158,0.78785,0.98977,1,0.995,0.81788,0.8358,0.45768,0.75503,0.000317,0.000317,0.000317
87,490.478,0.85515,0.41821,0.83935,0.98977,1,0.995,0.81788,0.8358,0.45768,0.75503,0.0002972,0.0002972,0.0002972
88,495.919,0.69097,0.43608,0.77588,0.98956,1,0.995,0.8026,0.85112,0.45631,0.7573,0.0002774,0.0002774,0.0002774
89,501.4,0.7235,0.42155,0.80286,0.98956,1,0.995,0.8026,0.85112,0.45631,0.7573,0.0002576,0.0002576,0.0002576
90,506.76,0.79813,0.45358,0.74463,0.98922,1,0.995,0.77379,0.88867,0.51173,0.76199,0.0002378,0.0002378,0.0002378
91,511.997,0.67232,0.46027,0.76332,0.98922,1,0.995,0.77379,0.88867,0.51173,0.76199,0.000218,0.000218,0.000218
92,517.437,0.68121,0.41614,0.75383,0.98629,1,0.995,0.77478,0.91087,0.54344,0.76556,0.0001982,0.0001982,0.0001982
93,522.659,0.84566,0.46384,0.74481,0.98629,1,0.995,0.77478,0.91087,0.54344,0.76556,0.0001784,0.0001784,0.0001784
94,527.924,0.71002,0.43654,0.86442,0.98701,1,0.995,0.79519,0.9256,0.55262,0.76752,0.0001586,0.0001586,0.0001586
95,533.175,0.59021,0.40008,0.75447,0.98701,1,0.995,0.79519,0.9256,0.55262,0.76752,0.0001388,0.0001388,0.0001388
96,538.491,0.72109,0.50742,0.81984,0.98796,1,0.995,0.77919,0.93438,0.53407,0.77062,0.000119,0.000119,0.000119
97,543.771,0.67541,0.41342,0.76091,0.98796,1,0.995,0.77919,0.93438,0.53407,0.77062,9.92e-05,9.92e-05,9.92e-05
98,549.024,0.58016,0.36811,0.79728,0.98872,1,0.995,0.80067,0.93477,0.51649,0.77233,7.94e-05,7.94e-05,7.94e-05
99,554.315,0.73542,0.45191,0.85169,0.98872,1,0.995,0.80067,0.93477,0.51649,0.77233,5.96e-05,5.96e-05,5.96e-05
100,559.599,0.57966,0.42,0.7424,0.98915,1,0.995,0.80067,0.93895,0.51394,0.77355,3.98e-05,3.98e-05,3.98e-05
