pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,league_order_in_pair,mpc_order_in_pair,league_done_reason,mpc_done_reason,league_tiz_fixed_horizon_fraction,mpc_tiz_fixed_horizon_fraction,delta_tiz_fixed_horizon_fraction,league_zpd_observed_occupancy_fraction,mpc_zpd_observed_occupancy_fraction,delta_zpd_observed_occupancy_fraction,league_zpd_occupancy_fraction,mpc_zpd_occupancy_fraction,delta_zpd_occupancy_fraction,league_duration_s,mpc_duration_s,delta_duration_s,league_distance_cm_mean,mpc_distance_cm_mean,delta_distance_cm_mean,league_too_close_fraction,mpc_too_close_fraction,delta_too_close_fraction,league_too_far_fraction,mpc_too_far_fraction,delta_too_far_fraction,league_min_boundary_clearance_cm,mpc_min_boundary_clearance_cm,delta_min_boundary_clearance_cm,league_policy_inference_latency_ms_mean,mpc_policy_inference_latency_ms_mean,delta_policy_inference_latency_ms_mean
trial029,29,29,0.110009394,0.592505472174,2,1,2,caught,caught,0.4411302033656587,0.16365310999875268,0.27747709336690607,0.5596919127086007,0.6695278969957081,-0.10983598428710739,0.5596919127086007,0.6695278969957081,-0.10983598428710739,46.96262430027127,14.546063300222158,32.416561000049114,3.495390732572994,3.6147182709157724,-0.11932753834277854,0.44030808729139925,0.33047210300429186,0.10983598428710739,0.0,0.0,0.0,0.7131471157073974,0.36347408294677663,0.3496730327606208,2.641589325735379,1.6230266894502887,1.0185626362850901
trial030,30,30,0.147159761,0.877352725444,2,2,1,caught,caught,0.03622561334632337,0.13176225665956737,-0.09553664331324399,0.625,0.5019455252918288,0.12305447470817121,0.625,0.5019455252918288,0.12305447470817121,3.3869087006896734,15.534854999743402,-12.147946299053729,3.785185564841543,3.461054894246944,0.3241306705945992,0.375,0.4980544747081712,-0.12305447470817121,0.0,0.0,0.0,0.9399901151657104,0.7785455703735344,0.16144454479217596,4.156896319578994,1.9004777350346558,2.2564185845443383
trial031,31,31,0.280634362,0.544216290717,0,1,2,caught,caught,0.0040279750091334185,0.00606691165206333,-0.0020389366429299114,0.0449438202247191,0.17142857142857143,-0.12648475120385233,0.0449438202247191,0.17142857142857143,-0.12648475120385233,5.428804500028491,2.1198873994871974,3.3089171005412936,2.3420449535498458,2.4875290972845896,-0.14548414373474383,0.9550561797752809,0.8285714285714286,0.12648475120385227,0.0,0.0,0.0,0.7333937406539917,1.291682195663452,-0.5582884550094604,3.524812509898435,3.6515440956196366,-0.1267315857212017
trial032,32,32,0.132048566,0.749402418931,0,2,1,caught,timeout,0.050536865011478464,0.5823810000283023,-0.5318441350168238,0.32666666666666666,0.5808080808080808,-0.2541414141414141,0.32666666666666666,0.5808080808080808,-0.2541414141414141,9.06783299986273,59.952957100234926,-50.885124100372195,3.2252449989318848,3.518570026363989,-0.2933250274321044,0.6733333333333333,0.41919191919191917,0.25414141414141417,0.0,0.0,0.0,0.7391329526901245,0.8469721794128418,-0.10783922672271729,3.037649663102707,1.6369994080653696,1.4006502550373374
trial033,33,33,0.188728447,0.606274056977,0,1,2,caught,caught,0.01115778333817919,0.039434278337284925,-0.028276494999105735,0.18333333333333332,0.4691358024691358,-0.28580246913580243,0.18333333333333332,0.4691358024691358,-0.28580246913580243,3.6515242997556925,4.906564800068736,-1.2550405003130436,2.662449578444163,3.1288026482970626,-0.4663530698528997,0.8166666666666667,0.5308641975308642,0.28580246913580243,0.0,0.0,0.0,1.188923192024231,0.8456804275512688,0.3432427644729621,3.4850016867710374,1.4151850482448936,2.069816638526144
trial034,34,34,0.100805649,0.573024576435,2,2,1,caught,caught,0.07770051665914555,0.7463519583300998,-0.6686514416709542,0.38235294117647056,0.7538148524923703,-0.3714619113158998,0.38235294117647056,0.7538148524923703,-0.3714619113158998,12.288453500717878,59.38117920048535,-47.09272569976747,3.4302802249497057,3.8181010946737546,-0.38782086972404883,0.6176470588235294,0.2461851475076297,0.37146191131589973,0.0,0.0,0.0,0.6766901731491088,0.8621408462524407,-0.18545067310333185,2.862659108646104,1.7044859484991328,1.1581731601469711
trial035,35,35,0.167589912,0.749784576228,3,1,2,caught,caught,0.02964259833097458,0.09435646831989289,-0.06471386998891832,0.2543859649122807,0.23558897243107768,0.018796992481203034,0.2543859649122807,0.23558897243107768,0.018796992481203034,6.859339600428939,23.98970009945333,-17.13036049902439,2.9033215108670687,3.0389694564025804,-0.13564794553551174,0.7456140350877193,0.7644110275689223,-0.018796992481203034,0.0,0.0,0.0,1.010670852661132,0.6433224201202392,0.3673484325408929,1.9113388802625437,1.013341195993687,0.8979976842688566
trial036,36,36,0.136126618,0.557147769637,1,2,1,caught,caught,0.04789259500491123,0.4240072433371097,-0.3761146483321985,0.34782608695652173,0.48783314020857477,-0.14000705325205304,0.34782608695652173,0.48783314020857477,-0.14000705325205304,8.272079200483859,52.087556700222194,-43.815477499738336,3.16878387634305,3.3826762816306477,-0.21389240528759768,0.6521739130434783,0.5121668597914253,0.14000705325205298,0.0,0.0,0.0,0.9832412719726555,0.8605873107910149,0.12265396118164062,1.869443810823625,1.0103689184684626,0.8590748923551625
trial037,37,37,0.240830606,0.645223387783,1,1,2,caught,caught,0.009136541653424502,0.012198053331424792,-0.0030615116780002907,0.3103448275862069,0.375,-0.0646551724137931,0.3103448275862069,0.375,-0.0646551724137931,1.708211800083518,1.879674700088799,-0.17146290000528097,3.238526537500579,3.2079731673002243,0.030553370200354646,0.6896551724137931,0.625,0.06465517241379315,0.0,0.0,0.0,1.4925090789794915,0.9185077667236321,0.5740013122558594,1.8928605464420147,1.1104774030466233,0.7823831433953914
trial038,38,38,0.197152209,0.646465605002,1,2,1,caught,caught,0.011160273322214682,0.03543988500411312,-0.024279611681898433,0.12643678160919541,0.46153846153846156,-0.33510167992926615,0.12643678160919541,0.46153846153846156,-0.33510167992926615,5.198413199745119,4.60053369961679,0.5978795001283288,2.437341622922612,3.127862953222715,-0.6905213303001028,0.8735632183908046,0.5384615384615384,0.3351016799292662,0.0,0.0,0.0,1.2081117153167724,0.8769351959228509,0.33117651939392156,1.8907814005086587,0.9985077739148945,0.8922736265937642
