trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,oob_rate,boundary_occupancy_mean,boundary_occupancy_std,min_clearance_mean,min_clearance_std,min_clearance_p05,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
19,1304481603,1000,-47.85942424521639,7.7080995293029275,0.16224,0.11663183692879651,0.524375845262193,0.1483462517397081,29.881,18.75170566816431,0.991,0.0,0.0411255425160875,0.05911318218749053,0.47648743408280847,0.19495449407272314,0.10965568271002028,0.4153225084008468,0.06030164633696027,3.782452825268457,0.5408866299710096,scripted_hand,scripted
0,479243620,1000,-38.93033173914865,29.49546290565555,0.30913999999999997,0.254304012809336,0.5581750010639325,0.18018978339438066,51.637,35.14561772746989,0.74,0.0,0.04146515865553004,0.0658556157512287,0.4207192465815798,0.2456409568478305,0.04357308540758082,0.4005466886813826,0.041278310254685084,3.762628432473875,0.4695909207443402,agent_H1,learned
1,454024514,1000,-39.680208198739024,27.55702513980277,0.29299000000000003,0.24872519800801068,0.5520406017383361,0.17627368007618635,49.539,34.89309397297704,0.747,0.0,0.03776380253804334,0.05478967882209046,0.44074547620653903,0.24245089464802574,0.0711605387096138,0.40222517073711456,0.0457342275245492,3.788873612460839,0.4997731218625512,agent_H1,learned
2,1818751028,1000,-41.311745122379946,28.2434063145589,0.28823000000000004,0.2502918558665326,0.5436985562591565,0.1857560509041369,49.135,34.99602115236097,0.769,0.0,0.04301356780061856,0.06057364926377687,0.41951618625119436,0.24273075325406998,0.05520344494942735,0.41491678998845083,0.04138465375239276,3.7400713944750748,0.4918257646481856,agent_H1,learned
3,2288458700,1000,-40.36355965737245,28.758018239553813,0.29375999999999997,0.24862356299449187,0.5472075033993548,0.18020778162095025,50.363,35.269465067763164,0.753,0.0,0.04176409728522348,0.05953498703944234,0.4148635152776908,0.2505565364225587,0.04940800469416193,0.4086300411171536,0.044162455483491625,3.7638381277365687,0.48601443851330856,agent_H1,learned
4,2115331525,1000,-42.79026951324272,27.18584383369769,0.28299,0.23725144498642817,0.5431241672403349,0.17920353849544138,49.481,34.37859110735236,0.777,0.0,0.039297451039513695,0.05246982370746957,0.4112238803770777,0.24385058062466464,0.053767863656383065,0.41460004833458686,0.042275784425078254,3.7423071957951786,0.47619086209724804,agent_H1,learned
5,2666256175,1000,-41.58606314397069,28.027159131080406,0.28397,0.24416911692033794,0.5454845353102331,0.179787336407791,48.617,34.271136862115064,0.774,0.0,0.04336961385912445,0.059152061333389724,0.41422679729919604,0.24642111033960185,0.04822327152982142,0.41433930961232834,0.040176155077438463,3.732733326198481,0.46787887413372414,agent_H1,learned
6,975381835,1000,-40.85908221144227,29.240823884788384,0.29589,0.2483160662719365,0.5477203423219853,0.17687044267156868,50.813,34.82414035912088,0.754,0.0,0.039062015162877856,0.05546747868125005,0.42450849102316907,0.24363929827783185,0.06430486457631694,0.4068927542693705,0.04538690340864424,3.77393872755082,0.4836996581144559,agent_H1,learned
7,2535166222,1000,-38.65911919704017,29.328473784034408,0.30471000000000004,0.2581855450556357,0.5505594554091345,0.1781670505765373,51.402,35.94605005441509,0.727,0.0,0.039032735164135454,0.056082854524767446,0.4300512840238458,0.24606854729404065,0.057024135458984396,0.41178610402453947,0.037654440566326004,3.7288117185697742,0.464829527690946,agent_H1,learned
8,1079577930,1000,-40.22895594495011,29.614367507874917,0.30157,0.2517188858578106,0.5567277813861424,0.17398991351765966,50.667,34.67769677550188,0.763,0.0,0.03834458782447956,0.05556481807140056,0.43481800328334785,0.2525127817996189,0.05160809499374834,0.40182684362268223,0.04144537499117534,3.7594562317934535,0.45908967557829444,agent_H1,learned
9,3715024065,1000,-40.977544027500294,28.158648888748676,0.28021,0.24995065759311622,0.5442841206475454,0.17953477474229637,47.597,34.704567393903616,0.776,0.0,0.04046731509374362,0.05497429828007575,0.4271553324845639,0.248459275470414,0.05747211882534095,0.41419756741850355,0.04151831193395105,3.7321258737318175,0.45855486614926844,agent_H1,learned
10,2056590929,1000,-40.516585097193534,28.969636584467874,0.29952999999999996,0.24843792081826097,0.5478341246351447,0.17993581146466622,51.286,34.779934557843085,0.752,0.0,0.03743545546295139,0.056093714065788024,0.42824234626545143,0.24130172756789153,0.05545965756806709,0.41260294874798586,0.03956292661686942,3.74017806824937,0.458699902359236,agent_H1,learned
11,3339987600,1000,-39.10338526735904,28.943232567251503,0.30223999999999995,0.2570588680860119,0.557757863328557,0.1743424123691389,50.576,35.40796447055306,0.744,0.0,0.03943621895432167,0.05852975983810687,0.4342482858905262,0.24004953197899548,0.054425298501512835,0.399815744371813,0.04242639229962997,3.767020636854295,0.4611065559144628,agent_H1,learned
12,1788010607,1000,-40.89852743379454,27.856674999587025,0.29499000000000003,0.24607468917516212,0.5570223548678064,0.16993727133993916,50.022,35.00915818978167,0.768,0.0,0.03600834498578091,0.05623002451456814,0.44204722996084367,0.2468848236029892,0.045450433682430846,0.4002952031423813,0.04268244198981241,3.769791656306164,0.459538831783337,agent_H1,learned
13,2859898362,1000,-38.75824537483313,29.483545652589356,0.31338,0.25707481997088527,0.5590220978085245,0.17946522036775214,52.115,35.48987611004449,0.74,0.0,0.04029306751356036,0.05925501925370487,0.4266651048422308,0.2444741749848241,0.057258490170622615,0.40260086107596826,0.038377041115507125,3.749069762262331,0.44395081842531686,agent_H1,learned
14,1908601667,1000,-40.93749386663864,28.64268060476072,0.30602999999999997,0.2455680002417716,0.5463977060091136,0.17346073602685902,53.391,35.49822873388535,0.73,0.0,0.03798239936288721,0.05201608108107702,0.42039791360491785,0.24579533284137595,0.04983826770687452,0.4113676080099168,0.04223468598096956,3.754955441018678,0.44208055159572995,agent_H1,learned
15,726301638,1000,-39.617775458866845,29.112008897319786,0.30312,0.2507140265783371,0.550849460169835,0.17945851748390182,51.404,35.09710231045564,0.738,0.0,0.03812379453620383,0.055911190666618545,0.43292801503543443,0.24460393055803392,0.06306574378220414,0.40626624858491145,0.04288429124525345,3.7677674317616923,0.47389674711618784,agent_H1,learned
