rank_input_order,horizon,velocity_window,action_grid,discount,boundary_guard,effort_weight,smoothness_weight,collision_penalty,oob_penalty,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
16,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.20905,0.15096666666666667,0.15096666666666667,0.004617719494873339,25.209999999999997,0.42035699113967373,0.9833333333333334,0.3446736771217865,0.07198304384467985,3.983635459662141,0.26713333333333333,0.007338483040338342,43.470000000000006,0.3278719262150993,0.8566666666666666,0.3716640762240185,0.052027072404771606,3.8673083373370116
17,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.1983833333333333,0.13546666666666665,0.13546666666666665,0.0011547005383792527,22.31,0.5461684721768537,0.9966666666666667,0.33014065136083465,0.07307340159166346,4.0030172504888135,0.2613,0.018295354601646874,41.73666666666667,2.7682906880118883,0.8833333333333333,0.3545071993842115,0.05369023713401807,3.9008742618603436
18,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.20198333333333335,0.13576666666666667,0.13576666666666667,0.0010785793124908978,22.69,0.5428627819256001,0.9966666666666667,0.3412306484361469,0.07173035618275743,3.9846272188199947,0.2682,0.018020266368730532,43.26666666666667,2.643961673953186,0.87,0.36668552377519853,0.05247322680846527,3.8816608607725507
19,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.20365,0.1389,0.1389,0.0015394804318340804,22.763333333333332,0.7050059101407119,1.0,0.33015280003748076,0.0729289726481773,3.99510271061737,0.2684,0.009643650760992932,42.48666666666667,1.7739879744049376,0.8733333333333334,0.35464946613712645,0.05632195880596642,3.910007844919946
20,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.2043,0.13913333333333333,0.13913333333333333,0.0015695009822658233,23.19333333333333,0.7778388864882841,1.0,0.34311967564705514,0.0713991422970643,3.9737120274973123,0.2694666666666667,0.015021429137513292,43.28,2.9000517236766643,0.8666666666666667,0.36683787777404336,0.05334629050575734,3.883758332654885
21,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.20148333333333335,0.14303333333333335,0.14303333333333335,0.004221768981521043,23.396666666666665,0.17097758137642985,0.9966666666666667,0.32744445412785544,0.07485641867996666,4.025369382268377,0.25993333333333335,0.021848188330690823,42.36,3.760465396729503,0.87,0.36295668303030104,0.05662952354567077,3.899036873999677
22,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.20108333333333334,0.1421,0.1421,0.0033421549934136707,23.570000000000004,0.24269322199023147,0.9966666666666667,0.338461249373249,0.07373689801891167,4.0077362032864,0.26006666666666667,0.019360096418492678,42.57333333333333,3.1300212991820584,0.87,0.3716046800644887,0.05528098058585686,3.8852197788194083
23,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.21148333333333336,0.14693333333333333,0.14693333333333333,0.004834597535817585,24.213333333333335,0.9867792728535265,0.9833333333333334,0.3333960362715027,0.07446886233957235,4.011725551291517,0.27603333333333335,0.008333866649601068,44.14666666666667,1.8961627918861126,0.86,0.36133371900898786,0.053725627111686415,3.8864810126661165
24,3,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.21289999999999998,0.14796666666666666,0.14796666666666666,0.0036073998022583204,24.69,0.7989993742175268,0.9833333333333334,0.3444808331792904,0.07316791884371936,3.9951132244550522,0.2778333333333333,0.011443047379668279,44.72333333333333,2.680006218898257,0.8533333333333334,0.37093739867893133,0.05185933823149482,3.8681156176406293
25,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.14288333333333333,0.11259999999999999,0.11259999999999999,0.00711898869222309,19.133333333333333,1.0625127450215988,1.0,0.34236774067428827,0.09062144455882366,3.9727654542890303,0.1731666666666667,0.0063846169292552804,30.94333333333333,0.9455333591858798,0.9533333333333333,0.39879159487653876,0.07112722690588981,3.8248698850628124
26,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.14958333333333335,0.11456666666666666,0.11456666666666666,0.006767815994346582,19.900000000000002,1.158835622510802,1.0,0.3591456293439628,0.08753625155589924,3.9392874760361685,0.18460000000000001,0.007175653280364095,33.916666666666664,1.1225566058481558,0.9366666666666665,0.4199582411967966,0.06724316571387375,3.77690078399373
27,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.14185000000000003,0.11206666666666666,0.11206666666666666,0.006217984668148778,18.753333333333334,1.1021040483245361,1.0,0.33616959571683386,0.09179816403444813,3.984203426836332,0.1716333333333334,0.005499393905998452,30.41333333333333,0.8050672849727113,0.96,0.3944677078323063,0.07253771987431382,3.842898910060754
28,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.14526666666666668,0.11416666666666668,0.11416666666666668,0.006099453527434514,19.59,1.182032148462976,1.0,0.3538325766978225,0.08848013942672295,3.946256319609354,0.17636666666666667,0.011690309377143633,32.52333333333333,2.283031610235245,0.9566666666666667,0.4174214161729454,0.06893849272810777,3.793485835261208
29,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.14468333333333333,0.11413333333333332,0.11413333333333332,0.005632347053700912,19.636666666666667,1.0785329542175948,1.0,0.349898648753826,0.09132452742419446,3.9737014443843357,0.17523333333333335,0.005688878038184126,31.366666666666664,0.300055550412475,0.9499999999999998,0.4030587076541808,0.07268548257639537,3.8291307339004135
30,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.1501666666666667,0.11626666666666667,0.11626666666666667,0.005772636601530827,20.453333333333333,1.2703280416228449,1.0,0.36737789248701475,0.087881315464732,3.934734654706786,0.1840666666666667,0.0047648014998878,33.63333333333333,1.2306637775336262,0.93,0.41906175042304566,0.0696203543892212,3.7925475076037998
31,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.14285000000000003,0.11193333333333334,0.11193333333333334,0.005960145412096378,19.206666666666667,1.0227577099847902,1.0,0.34679029877490003,0.09376262420504106,3.9853486930352453,0.1737666666666667,0.010886842211281163,31.093333333333334,1.7835451587591884,0.9533333333333333,0.40076735426157867,0.07206579034386869,3.8338955614209946
32,5,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.14826666666666666,0.11403333333333333,0.11403333333333333,0.006087966272355116,19.930000000000003,1.1248110952511086,1.0,0.3627883958801403,0.09042596393261519,3.948935896873819,0.1825,0.008937001734362566,33.39,1.3299999999999985,0.93,0.4174250932153784,0.06891648806870211,3.795182682690518
